"Id2","Geography","Total..Estimate..Households","Households.receiving.food.stamps..Estimate..Households","Total..Estimate..With.children.under.18.years","Households.receiving.food.stamps..Estimate..With.children.under.18.years","Total..Estimate..POVERTY.STATUS.IN.THE.PAST.12.MONTHS...Below.poverty.level","Households.receiving.food.stamps..Estimate..POVERTY.STATUS.IN.THE.PAST.12.MONTHS...Below.poverty.level","Total..Estimate..Hispanic.or.Latino.origin..of.any.race.","Households.receiving.food.stamps..Estimate..Hispanic.or.Latino.origin..of.any.race."
37101041503,"Census Tract 415.03, Johnston County, North Carolina",2405,376,"37.8","70.7","14.8","51.6","6.7","18.1"
37135010701,"Census Tract 107.01, Orange County, North Carolina",762,78,"32.4","35.9","7.3","25.6","2.5","17.9"
37135010703,"Census Tract 107.03, Orange County, North Carolina",2834,329,"22.2","53.5","18.3","34.0","16.9","11.6"
37135010704,"Census Tract 107.04, Orange County, North Carolina",2428,105,"25.9","66.7","23.3","86.7","10.5","50.5"
37135010705,"Census Tract 107.05, Orange County, North Carolina",2015,243,"24.1","55.6","19.7","44.0","5.3","16.9"
37135010706,"Census Tract 107.06, Orange County, North Carolina",1165,0,"46.1","-","1.4","-","5.1","-"
37135010801,"Census Tract 108.01, Orange County, North Carolina",1886,202,"31.2","55.4","11.6","43.6","2.5","0.0"
37135010802,"Census Tract 108.02, Orange County, North Carolina",1909,128,"30.6","58.6","10.9","53.9","2.6","38.3"
37135010901,"Census Tract 109.01, Orange County, North Carolina",2259,274,"29.6","46.7","12.4","42.7","8.8","31.4"
37135010902,"Census Tract 109.02, Orange County, North Carolina",1636,164,"35.6","31.7","15.0","59.8","10.8","0.0"
37135011000,"Census Tract 110, Orange County, North Carolina",2787,355,"33.1","64.2","14.2","61.7","2.8","11.0"
37135011101,"Census Tract 111.01, Orange County, North Carolina",3221,462,"34.8","55.6","14.6","55.0","2.8","9.5"
37135011102,"Census Tract 111.02, Orange County, North Carolina",2355,226,"35.6","44.7","9.2","67.7","6.7","29.6"
37135011202,"Census Tract 112.02, Orange County, North Carolina",2713,97,"41.1","72.2","11.6","85.6","2.5","24.7"
37135011203,"Census Tract 112.03, Orange County, North Carolina",2321,272,"30.5","53.3","16.4","31.6","1.2","0.0"
37135011204,"Census Tract 112.04, Orange County, North Carolina",1297,98,"32.9","54.1","9.1","54.1","7.1","20.4"
37135011205,"Census Tract 112.05, Orange County, North Carolina",3020,235,"36.0","37.0","12.1","53.6","5.8","12.3"
37135011300,"Census Tract 113, Orange County, North Carolina",1103,196,"11.9","65.3","51.8","63.3","2.4","0.0"
37135011400,"Census Tract 114, Orange County, North Carolina",1449,77,"13.6","0.0","32.2","87.0","2.6","0.0"
37135011500,"Census Tract 115, Orange County, North Carolina",846,32,"15.6","0.0","30.6","100.0","3.9","0.0"
37135011601,"Census Tract 116.01, Orange County, North Carolina",91,4,"0.0","0.0","100.0","100.0","4.4","100.0"
37135011602,"Census Tract 116.02, Orange County, North Carolina",523,19,"19.1","68.4","55.4","15.8","8.4","0.0"
